Color,Year,yearly_average
Black,2013,46.04644201163188
Black,2014,36.23693499842176
Black,2015,37.10822291916977
Black,2016,46.58501402149985
Black,2017,50.53106849151126
Black,2018,50.27528577992072
Black,2019,46.79184447407703
Black,2020,55.61407243716736
Black,2021,56.71866540437012
Black,2022,70.85145780372218
