Year,average_rate
2013,49.59650602037959
2014,38.59643497280377
2015,41.29116297322904
2016,49.58949866381775
2017,52.68916320009249
2018,52.936434637391066
2019,50.656273700125865
2020,57.420865504807374
2021,63.35200780881899
2022,65.70896425388383
